,_timestamp,train epoch time,_step,n_all_params,train F1,n_combiner_params,dev eval epoch time,batch loss,dev loss,n_classifier_params,total epoch time,train accuracy,dev F1,dev accuracy,loss,epoch,_runtime
265,1715244212.0989873,0.2811253825823466,265,,0.7292071511853867,,0.008279931545257569,,0.0022863848562087487,,0.2894053141276042,0.6689483140061471,0.7885597548518897,0.7626146788990825,0.002339750859772407,0.0,61.55008625984192
530,1715244228.6526995,0.5482633034388225,530,,0.8469094077575053,,0.017032420635223387,,0.0022368757823191653,,0.5652957240740458,0.8278222393799463,0.7938388625592417,0.8004587155963303,0.0016670190123673153,1.0,78.10379838943481
795,1715244245.3516505,0.8181382377942403,795,,0.8566081008053356,,0.025469164053599037,,0.0021817874881105686,,0.8436074018478394,0.8384682771830316,0.8106312292358804,0.8038990825688074,0.0015535417746558738,2.0,94.80274939537048
1060,1715244262.5834146,1.0977875947952271,1060,,0.8600126375651624,,0.03301155964533488,,0.002171128031310685,,1.130799154440562,0.8421060446331794,0.8170594837261503,0.8130733944954128,0.0015018430526956535,3.0,112.03451347351074
1325,1715244280.0411377,1.380585523446401,1325,,0.8618839872942231,,0.04117009242375692,,0.002035869917738328,,1.421755615870158,0.8444074893465382,0.816933638443936,0.8165137614678899,0.001474573346922064,4.0,129.4922366142273
1590,1715244296.6520019,1.648867706457774,1590,,0.8634376362123394,,0.0497306744257609,,0.0021211057901382446,,1.698598380883535,0.8464862136037654,0.8236607142857143,0.8188073394495413,0.0014520612056328726,5.0,146.10310077667236
1855,1715244313.5214863,1.9228843569755556,1855,,0.8651349178102055,,0.05686784982681274,,0.00220711474571753,,1.9797522068023685,0.8480898008879122,0.8055878928987195,0.8084862385321101,0.0014348824423623865,6.0,162.97258520126343
2120,1715244331.3300622,2.211145925521851,2120,,0.8657372469582026,,0.06541127761205037,,0.0020284989011397055,,2.276557203133901,0.8494261236247012,0.8197088465845465,0.8153669724770642,0.0014292905865346554,7.0,180.78116106987
2385,1715244348.2108057,2.4841657757759097,2385,,0.8666490416391276,,0.07373312711715699,,0.002136439290068565,,2.5578989028930668,0.8502130692363657,0.8234019501625135,0.8130733944954128,0.0014177610189920473,8.0,197.66190457344055
2650,1715244364.8972268,2.7538671970367434,2650,,0.8678522354930769,,0.08213487466176352,,0.0020960047841072083,,2.8360020716985073,0.8514899998515197,0.804147465437788,0.805045871559633,0.001402530645881298,9.0,214.34832572937012
2915,1715244381.6597276,3.0250056028366092,2915,,0.8685897435897436,,0.09036726554234824,,0.0020812425864945856,,3.115372868378958,0.8526778422842209,0.816,0.8153669724770642,0.001390579595999664,10.0,231.11082649230957
3180,1715244399.1576324,3.308246799310049,3180,,0.8685306523065496,,0.09875275691350302,,0.0021088132891086265,,3.4069995562235524,0.8528263225883087,0.8255687973997833,0.8153669724770642,0.0013876889610055468,11.0,248.60873126983643
