,_timestamp,train epoch time,_step,n_all_params,train F1,n_combiner_params,dev eval epoch time,batch loss,dev loss,n_classifier_params,total epoch time,train accuracy,dev F1,dev accuracy,loss,epoch,_runtime
3445,1715244415.693012,3.5756808400154116,3445,,0.8704627467628954,,0.10690421660741171,,0.002002604920929725,,3.682585056622824,0.8550238310888061,0.8228699551569507,0.8188073394495413,0.001370947408499853,12.0,265.14411091804504
3710,1715244430.9918811,3.8242614944775903,3710,,0.8700567970699081,,0.113300363222758,,0.0024425454027608992,,3.937561857700349,0.8546080862373606,0.8089887640449438,0.7855504587155964,0.0013615360276683383,13.0,280.44298005104065
3975,1715244441.1844692,3.9876769065856936,3975,,0.8692474318595595,,0.11975708007812502,,0.0020152062451073882,,4.107433986663819,0.8539102288081486,0.8209121245828699,0.8153669724770642,0.0013554188413579921,14.0,290.63556814193726
4240,1715244450.5739853,4.137529746691386,4240,,0.870349462722648,,0.12639141877492271,,0.0019438081173174973,,4.26392116546631,0.8550683751800323,0.8118586088939567,0.8107798165137615,0.001335699612084461,15.0,300.02508425712585
4505,1715244460.8440292,4.3020644903182985,4505,,0.8692681889470746,,0.13301921685536705,,0.0019875220065816825,,4.435083707173667,0.8539547728993749,0.8192771084337349,0.8107798165137615,0.0013314799304231437,16.0,310.2951281070709
4770,1715244470.3437545,4.4535366058349615,4770,,0.8706339283339097,,0.13987163305282596,,0.002061502239026061,,4.593408238887788,0.8555880562443392,0.8146551724137931,0.8027522935779816,0.0013209919361043757,17.0,319.7948534488678
5035,1715244480.3689141,4.614328189690909,5035,,0.872469124313689,,0.14616181055704755,,0.0022257188796450237,,4.760490000247956,0.8575628442887051,0.7800729040097205,0.7924311926605505,0.001309417694504821,18.0,329.82001304626465
5300,1715244493.2064416,4.819971283276876,5300,,0.872472701187598,,0.15447345177332564,,0.002064998099289903,,4.974444735050202,0.8574589080758437,0.8060747663551402,0.8096330275229358,0.0013062354765160811,19.0,342.6575405597687
5565,1715244509.8417456,5.0889613429705305,5565,,0.8724723286504895,,0.16273396809895838,,0.0020528321555995065,,5.251695311069489,0.8576667805015664,0.8169642857142857,0.8119266055045872,0.001299663995619944,20.0,359.2928445339203
5830,1715244526.4198625,5.35711631377538,5830,,0.874151422156683,,0.1708756844202678,,0.0020423553405551735,,5.527991998195649,0.859344607937757,0.8140589569160998,0.8119266055045872,0.0012896214577188421,21.0,375.8709614276886
6095,1715244544.3064008,5.646245551109314,6095,,0.874019725124279,,0.1798506657282512,,0.0020301297238660516,,5.826096216837565,0.8592703677857132,0.8126361655773421,0.8027522935779816,0.0012861720717711378,22.0,393.7574996948242
6360,1715244561.1483624,5.91877916653951,6360,,0.8748487628468483,,0.1880118131637574,,0.0021467578315406766,,6.106790979703268,0.860235489762283,0.8171806167400881,0.8096330275229358,0.0012780904044630472,23.0,410.5994613170624
6625,1715244577.714095,6.186390841007232,6625,,0.8757712056681128,,0.19649133284886686,,0.0020571360279113874,,6.3828821738561,0.8609778912827214,0.8163265306122449,0.8038990825688074,0.0012736866237995123,24.0,427.1651940345764
6890,1715244594.6816902,6.462086772918701,6890,,0.8756156817970606,,0.2035827040672303,,0.0019381466330191412,,6.665669476985932,0.8608888031002687,0.8117913832199547,0.8096330275229358,0.0012645667985272614,25.0,444.13278913497925
7155,1715244612.1095855,6.744049600760142,7155,,0.8766118097466301,,0.21207974354426073,,0.0021009165281002675,,6.956129344304403,0.8621805817458315,0.8181818181818182,0.8073394495412844,0.0012605459977740457,26.0,461.56068444252014
7420,1715244628.7570696,7.013270374139149,7420,,0.8770563690966593,,0.22031144301096606,,0.0021949093959747106,,7.2335818171501165,0.8626260226580944,0.8175965665236051,0.805045871559633,0.0012593351107726648,27.0,478.2081685066223
7685,1715244645.199075,7.27906462351481,7685,,0.8770774703977061,,0.2285463770230612,,0.0020073927050336783,,7.507611000537873,0.8625072384148242,0.8023391812865497,0.8061926605504587,0.0012554669006182096,28.0,494.6501739025116
7950,1715244662.545836,7.559691977500915,7950,,0.8781486355358828,,0.2370266795158387,,0.0021454692228671606,,7.796718657016754,0.8638881052428395,0.8097447795823666,0.8119266055045872,0.0012428943531258578,29.0,511.99693489074707
