,n_combiner_params,_runtime,n_classifier_params,total epoch time,dev eval epoch time,dev loss,train F1,n_all_params,dev accuracy,epoch,_timestamp,train epoch time,batch loss,_step,loss,dev F1,train accuracy
1054,,45.44625759124756,,0.16347716649373373,0.005322762330373128,0.0016067415270783485,0.8813559322033898,,0.8543577981651376,0.0,1715245687.8056846,0.1581544041633606,,1054,0.0047812638524569896,0.8599779492833517,0.8673773923888997
2108,,55.24316048622131,,0.3267550110816956,0.01051777203877767,0.0017043859655157141,0.928263759638394,,0.8589449541284404,1.0,1715245697.6025875,0.3162372390429179,,2108,0.003120741522572889,0.86438809261301,0.9198800279142971
3162,,65.3137001991272,,0.4945935368537903,0.016737020015716555,0.0016657259793729957,0.9462457110939703,,0.8543577981651376,2.0,1715245707.6731272,0.47785651683807373,,3162,0.0023841833887070095,0.85385500575374,0.9399842610877667
4216,,75.21766185760498,,0.659655785560608,0.021940549214680992,0.001785900580500244,0.9560343224503892,,0.8669724770642202,3.0,1715245717.5770888,0.6377152363459269,,4216,0.0019789731819787482,0.8711111111111111,0.9508530193469836
5270,,84.84599757194519,,0.8201234380404155,0.02717609802881877,0.0019777438372646995,0.960859779728056,,0.8532110091743119,4.0,1715245727.2054245,0.7929473400115966,,5270,0.0017161625422296492,0.851508120649652,0.9563616386286359
6324,,94.06431674957275,,0.9737582246462505,0.03228635390599569,0.0018933350476649923,0.9654181740795914,,0.8463302752293578,5.0,1715245736.4237437,0.9414718707402546,,6324,0.0015435628329400477,0.8463302752293578,0.9613951209372077
7378,,103.5527663230896,,1.13189514875412,0.03739610115687053,0.002186383163436837,0.9679179978700746,,0.8532110091743119,6.0,1715245745.9121933,1.0944990475972491,,7378,0.00141004170360613,0.8587196467991169,0.9642162467148733
8432,,112.56501889228821,,1.2820953687032066,0.04292894999186199,0.0023350325677919826,0.9701816246424056,,0.8440366972477065,7.0,1715245754.9244459,1.2391664187113443,,8432,0.0013025208152343292,0.8485523385300668,0.9667255638539548
9486,,122.35544562339783,,1.4452652653058373,0.048038220405578626,0.002457739050508639,0.9711073517070506,,0.8394495412844036,8.0,1715245764.7148726,1.3972270449002582,,9486,0.0012447145606216577,0.8478260869565217,0.967794622043386
10540,,132.09511303901672,,1.607589141527812,0.05339722235997519,0.0025603450629689277,0.9734958354400064,,0.8486238532110092,9.0,1715245774.45454,1.5541919191678364,,10540,0.001153113230731065,0.8503401360544217,0.9704227234257375
11594,,141.91671586036682,,1.7712782263755802,0.05864166418711345,0.002259990969382295,0.9721712782074795,,0.8577981651376146,10.0,1715245784.2761428,1.7126365621884663,,11594,0.001186450511790107,0.8600451467268623,0.9689082243240434
12648,,151.21616911888123,,1.9262650728225712,0.06389052073160809,0.002470837564233246,0.9735792887140503,,0.8360091743119266,11.0,1715245793.575596,1.8623745520909627,,12648,0.0011491962556020425,0.8412874583795783,0.9704821155473726
13702,,161.10626029968262,,2.0910955309867862,0.06905999581019084,0.0030835264729797292,0.9746353667624827,,0.841743119266055,12.0,1715245803.4656873,2.022035535176595,,13702,0.0010636042346832293,0.8473451327433629,0.9716996540408914
14756,,171.13888573646545,,2.258301973342896,0.07425324519475301,0.0028646671717320014,0.9757546692244159,,0.8600917431192661,13.0,1715245813.4983127,2.1840487281481424,,14756,0.0010211220358122583,0.8604118993135011,0.9729765846560454
15810,,180.88934659957886,,2.4208057165145878,0.07945638100306193,0.0027090683921214636,0.9744257762654189,,0.8486238532110092,14.0,1715245823.2487736,2.3413493355115254,,15810,0.0010843875628548233,0.8533333333333334,0.9714323894935337
16864,,190.23292303085327,,2.5765279094378157,0.08463726441065471,0.0029464891060776667,0.9768383479175824,,0.8405963302752294,15.0,1715245832.59235,2.4918906450271607,,16864,0.0009854272321969198,0.847084708470847,0.9741792751191555
17918,,199.24686074256897,,2.726755805810293,0.09006337722142538,0.002654394972215005,0.9758355166039392,,0.8463302752293578,16.0,1715245841.6062877,2.636692428588867,,17918,0.0010103991675663915,0.8456221198156681,0.9730211287472716
18972,,209.00088477134705,,2.889318625132243,0.09522701104482015,0.002927044116028952,0.9751361717428652,,0.838302752293578,17.0,1715245851.3603117,2.7940916140874226,,18972,0.0010565350083859245,0.8424581005586592,0.9722787272268334
20026,,218.7718906402588,,3.0521641016006473,0.10047841866811116,0.002842600260852674,0.9758542746975136,,0.8497706422018348,18.0,1715245861.1313176,2.9516856829325357,,20026,0.0010414575586365602,0.8533034714445689,0.9730359767776804
21080,,228.7429325580597,,3.218343591690064,0.10566000143686931,0.00276907721380575,0.9771840328187642,,0.8463302752293578,19.0,1715245871.1023595,3.112683590253194,,21080,0.0009551657300978055,0.8487584650112867,0.9745653239097833
22134,,238.65638518333435,,3.3835635542869573,0.11096009016036988,0.003279679548849753,0.9790243317751408,,0.8291284403669725,20.0,1715245881.0158122,3.2726034641265866,,22134,0.0008937915183550552,0.8320180383314544,0.9766143521061931
23188,,247.362934589386,,3.528668153285981,0.11620776653289795,0.0025983751503699417,0.9770838043810766,,0.8451834862385321,21.0,1715245889.7223616,3.412460386753082,,23188,0.0009712780495698252,0.8464163822525598,0.9744168436056957
24242,,256.98449444770813,,3.6890235066413886,0.12143030961354574,0.003017862045436824,0.9770278728476116,,0.8360091743119266,22.0,1715245899.3439214,3.5675931970278416,,24242,0.0009895219755361193,0.8433734939759037,0.9743871475448782
