,name,id,sweep_name,sweep_id,dev F1,n_all_params,train accuracy,n_combiner_params,dev eval epoch time,loss,_wandb,dev loss,_timestamp,n_classifier_params,epoch,train F1,dev accuracy,total epoch time,_step,_runtime,batch loss,train epoch time,n_pos_enc_params,n_bias_params,n_clas_params,n_circ_params,n_batch_norm_params,seed,epochs,emb_dim,optimizer,batch_size,hidden_dim,rnn_layers,vocab_size,learning_rate,n_layers,bias,gates,n_reps,pos_enc,clas_type,circ_in,batch_norm
0,silvery-sweep-10,gnykahvc,sentemb_rnn_run,kksuq6f5,0.814139110604333,40301,0.863101159631175,40200.0,0.2297143538792928,0.0012429070014900797,{'runtime': 464},0.001998068064177802,1715245136.382459,101.0,29,0.8777707073920883,0.8130733944954128,7.114135360717773,7950,464.7455389499664,0.17160998284816742,6.884421006838481,,,,,,442,30,300,adam,256,100.0,1.0,,0.0001,,,,,,,,
1,electric-sweep-9,bm8ln9lr,sentemb_rnn_run,kksuq6f5,0.8097447795823666,40301,0.8638881052428395,40200.0,0.2370266795158387,0.0012428943531258578,{'runtime': 511},0.0021454692228671606,1715244662.545836,101.0,29,0.8781486355358828,0.8119266055045872,7.796718657016754,7950,511.996934890747,0.4132293164730072,7.559691977500915,,,,,,363,30,300,adam,256,100.0,1.0,,0.0001,,,,,,,,
2,volcanic-sweep-8,7a7sotlx,sentemb_rnn_run,kksuq6f5,0.8248095756256801,40301,0.8640514335773359,40200.0,0.23379981517791748,0.001228798658669497,{'runtime': 471},0.0020450187522336977,1715244143.3970284,101.0,29,0.8784128333156274,0.8153669724770642,7.217973077297211,7950,471.5627543926239,0.2565443515777588,6.984173262119293,,,,,,902,30,300,adam,256,100.0,1.0,,0.0001,,,,,,,,
3,northern-sweep-7,wc9cwjco,sentemb_rnn_run,kksuq6f5,0.8059023836549376,40301,0.863799017060387,40200.0,0.2301223516464233,0.001272364334195711,{'runtime': 462},0.002113464262780793,1715243660.8615232,101.0,29,0.8779130897717442,0.8038990825688074,7.07072365283966,7950,462.9635510444641,0.4618106186389923,6.840601301193238,,,,,,875,30,300,adam,256,100.0,1.0,,0.0001,,,,,,,,
4,visionary-sweep-6,no1d8hud,sentemb_rnn_run,kksuq6f5,0.823271130625686,40301,0.8640217375165185,40200.0,0.2426050384839376,0.00123900976052208,{'runtime': 492},0.002089444274475815,1715243188.2483647,101.0,29,0.8782148461395249,0.8153669724770642,7.60469000339508,7950,493.1221506595611,0.20697948336601257,7.362084964911142,,,,,,427,30,300,adam,256,100.0,1.0,,0.0001,,,,,,,,
5,vivid-sweep-5,wa1szjig,sentemb_rnn_run,kksuq6f5,0.8076009501187649,40301,0.8622102778066489,40200.0,0.24728209575017296,0.0012323304666304836,{'runtime': 544},0.0019431038323892368,1715242688.2975752,101.0,29,0.8769426616453615,0.8142201834862385,8.445820212364197,7950,544.8246471881866,0.3740948438644409,8.198538116614026,,,,,,180,30,300,adam,256,100.0,1.0,,0.0001,,,,,,,,
6,elated-sweep-4,r1y88k3m,sentemb_rnn_run,kksuq6f5,0.819226750261233,40301,0.8608294109786336,40200.0,0.23304615815480556,0.001266805276012054,{'runtime': 478},0.0021655810398793,1715242134.8065703,101.0,29,0.8752279655489145,0.801605504587156,7.327250166734061,7950,479.06487226486206,0.47999000549316406,7.094204008579254,,,,,,108,30,300,adam,256,100.0,1.0,,0.0001,,,,,,,,
7,misunderstood-sweep-3,5nig1tjz,sentemb_rnn_run,kksuq6f5,0.784409257003654,40301,0.8623736061411453,40200.0,0.23593416213989257,0.0012487404199005435,{'runtime': 468},0.0021085770236789632,1715241646.5715673,101.0,29,0.877103194070617,0.7970183486238532,7.1145389954249065,7950,468.62605834007263,0.4370745718479157,6.878604833285013,,,,,,142,30,300,adam,256,100.0,1.0,,0.0001,,,,,,,,
8,fragrant-sweep-2,xr8sucy0,sentemb_rnn_run,kksuq6f5,0.819304152637486,40301,0.8621805817458315,40200.0,0.23391897678375248,0.0012368060710724004,{'runtime': 498},0.002075033074398653,1715241166.936929,101.0,29,0.8770205098309396,0.8153669724770642,7.672580766677856,7950,498.6090269088745,0.2635238766670227,7.438661789894104,,,,,,507,30,300,adam,256,100.0,1.0,,0.0001,,,,,,,,
9,breezy-sweep-1,eze22tst,sentemb_rnn_run,kksuq6f5,0.8149882903981265,40301,0.8624033022019629,40200.0,0.2379098773002625,0.0012551578470525286,{'runtime': 515},0.0019981352902880504,1715240659.7205038,101.0,29,0.8769371738177761,0.8188073394495413,7.934440886974334,7950,515.9824829101562,0.5053821206092834,7.696531009674072,,,,,,888,30,300,adam,256,100.0,1.0,,0.0001,,,,,,,,
