,n_pos_enc_params,_timestamp,dev accuracy,n_clas_params,n_circ_params,train accuracy,_step,_runtime,n_all_params,loss,dev loss,total epoch time,epoch,batch loss,n_bias_params,train F1,dev F1,dev eval epoch time,train epoch time,run_id,n_batch_norm_params
1054,,1715223096.7315931,0.7672018348623854,,,0.7564032131137804,1054,594.419732093811,,0.009814508175552197,0.0028478131381743546,9.305523407459258,0.0,,,0.7773344191096634,0.7842720510095643,0.0068958441416422525,9.298627563317616,vlyl1e0w,
2108,,1715223657.3186266,0.7740825688073395,,,0.7987200997787643,2108,1155.0067656040192,,0.008538224372437689,0.002656076957873248,18.64863632917404,1.0,,,0.8174767739329474,0.7924130663856691,0.012952176729838054,18.635684152444203,vlyl1e0w,
3162,,1715224217.1026468,0.7809633027522935,,,0.8052383851282128,3162,1714.7907857894897,,0.007934809036408096,0.002521002169595946,27.978365874290464,2.0,,,0.8256019571084786,0.7978835978835979,0.019191491603851318,27.959174382686612,vlyl1e0w,
4216,,1715224777.8881862,0.783256880733945,,,0.8112369894133543,4216,2275.5763251781464,,0.0075644790492582934,0.0024257082184520338,37.32478679815928,3.0,,,0.832734688507335,0.8008429926238145,0.02522092660268148,37.299565871556595,vlyl1e0w,
5270,,1715225337.9903932,0.783256880733945,,,0.8161071433874296,5270,2835.6785321235657,,0.007319353901093308,0.002320313877468809,46.65981952746709,4.0,,,0.8377843848642418,0.799575821845175,0.03127380609512329,46.628545721371964,vlyl1e0w,
6324,,1715225898.2649438,0.7878440366972477,,,0.8178146668844378,6324,3395.9530827999115,,0.007126713669835158,0.0023196577137216514,55.99772444963455,5.0,,,0.8396958532570353,0.8054679284963197,0.03760077953338623,55.96012367010116,vlyl1e0w,
7378,,1715226458.2312284,0.786697247706422,,,0.8188391809826426,7378,3955.919367313385,,0.006981996931469193,0.0022324270338093468,65.33049114545186,6.0,,,0.8408364532919368,0.805439330543933,0.04361533721288045,65.28687580823897,vlyl1e0w,
8432,,1715227020.9303985,0.786697247706422,,,0.8213781941825417,8432,4518.618537425995,,0.00683526022984464,0.002203498685031856,74.7088058869044,7.0,,,0.8427903086694023,0.802547770700637,0.04995134274164836,74.65885454416274,vlyl1e0w,
9486,,1715227581.4693806,0.7798165137614679,,,0.8222393799462502,9486,5079.157519578934,,0.006725902639165817,0.002270419492360649,84.05111804405848,8.0,,,0.8440374143456397,0.7987421383647799,0.05608176390329997,83.99503628015516,vlyl1e0w,
10540,,1715228142.9590557,0.7901376146788991,,,0.8232935901052726,10540,5640.647194623947,,0.0066318875742474755,0.0021373888631479455,93.40927465756735,9.0,,,0.8447540406214534,0.8067581837381204,0.06228775183359782,93.34698690573373,vlyl1e0w,
