,train accuracy,dev loss,train F1,total epoch time,dev F1,batch loss,n_all_params,dev accuracy,loss,train epoch time,dev eval epoch time,_timestamp,epoch,_step,_runtime
11594,0.8387355417303894,0.0020554750610929018,0.8571541304433601,2.6294378797213236,0.8090614886731392,,,0.7970183486238532,0.005887913455495707,2.555674902598063,0.07376297712326049,1715245216.3825636,10.0,11594,195.61809659004211
12648,0.839715511737368,0.0020943850688978074,0.8581266674552169,2.8287499944368997,0.8189473684210526,,,0.8027522935779816,0.005882683261640654,2.7490633765856427,0.07968661785125732,1715245228.3415751,11.0,12648,207.57710814476013
13702,0.8405618494706677,0.0021050581623108014,0.8589147286821706,3.018477118015289,0.8148148148148148,,,0.7993119266055045,0.005880186919217354,2.932955567042033,0.08552155097325642,1715245239.7255502,12.0,13702,218.96108317375183
14756,0.8397303597677768,0.002092355605932551,0.8581230283911672,3.202515606085459,0.8093645484949833,,,0.8038990825688074,0.005880616904968876,3.111255296071371,0.09126031001408894,1715245250.7681203,13.0,14756,230.00365328788757
15810,0.8405321534098502,0.0020135011558138995,0.8587659775919204,3.392422560850779,0.8108695652173913,,,0.8004587155963303,0.005880632733179698,3.295151257514954,0.09727130333582559,1715245262.1628058,14.0,15810,241.39833879470825
16864,0.8396858156765505,0.002055827015583668,0.8581153002089439,3.584381298224131,0.8090614886731392,,,0.7970183486238532,0.005884279599283428,3.4813027620315555,0.10307853619257608,1715245273.6805885,15.0,16864,252.91612148284912
17918,0.8405024573490326,0.002103426280098224,0.8587619648679921,3.777492423852285,0.8138801261829653,,,0.7970183486238532,0.005880538642731263,3.668264782428742,0.10922764142354328,1715245285.2676077,16.0,17918,264.5031406879425
18972,0.8398788400718644,0.0021438980047855903,0.8582060115181318,3.9591975649197897,0.8138801261829653,,,0.7970183486238532,0.005883662511021646,3.845272910594941,0.11392465432484944,1715245296.170182,17.0,18972,275.4057149887085
20026,0.8407251778051641,0.0020523520032747077,0.858957333508645,4.035250461101532,0.8131868131868132,,,0.805045871559633,0.005882099239181454,3.9166469732920337,0.1186034878094991,1715245300.7336123,18.0,20026,279.96914529800415
21080,0.8398639920414557,0.0019914193779503532,0.8581760799526597,4.111408885320027,0.8104575163398693,,,0.8004587155963303,0.0058822738207691605,3.9880756576855987,0.12333322763442993,1715245305.303432,19.0,21080,284.53896498680115
22134,0.839908536132682,0.0021031207379397995,0.8583105550883096,4.191912027200062,0.8108108108108109,,,0.7993119266055045,0.005884145614504327,4.063335033257803,0.12857699394226074,1715245310.1339223,20.0,22134,289.3694553375244
23188,0.8398936881022733,0.002071441552781184,0.8582508446056973,4.274642674128214,0.8100436681222707,,,0.8004587155963303,0.005882735054288229,4.141315019130707,0.13332765499750773,1715245315.0980148,21.0,23188,294.33354783058167
24242,0.8405766975010764,0.0021559463113272957,0.858996414829212,4.356821695963541,0.8179916317991632,,,0.8004587155963303,0.005880956409570431,4.218619549274445,0.13820214668909708,1715245320.0290604,22.0,24242,299.2645933628082
25296,0.83921067870347,0.002010272901265993,0.8576199429375337,4.432086499532063,0.8119469026548672,,,0.805045871559633,0.005881081492903078,4.289020375410716,0.14306612412134806,1715245324.5452976,23.0,25296,303.78083062171936
26350,0.8396858156765505,0.0020608724599037696,0.8580182786507988,4.510505704085031,0.8173913043478261,,,0.8073394495412844,0.005878972990209926,4.362655520439148,0.1478501836458842,1715245329.2506895,24.0,26350,308.48622250556946
27404,0.839715511737368,0.002025546899082464,0.8580968280467446,4.592781956990559,0.8176914778856527,,,0.8061926605504587,0.005882283356105156,4.440144316355387,0.15263764063517254,1715245334.1875148,25.0,27404,313.4230477809906
28458,0.8404727612882151,0.002061629274842936,0.8588210559512234,4.676369631290435,0.8090614886731392,,,0.7970183486238532,0.005880889096917316,4.519024205207825,0.1573454260826111,1715245339.203049,26.0,28458,318.43858194351196
29512,0.8405173053794415,0.0021211722643550385,0.8588326520956274,4.757072742780049,0.8179916317991632,,,0.8004587155963303,0.005879635481778196,4.594963610172272,0.16210913260777793,1715245344.045475,27.0,29512,323.2810080051422
30566,0.8397452077981856,0.0020024376588130216,0.8582982131369228,4.912091410160064,0.8142548596112311,,,0.8027522935779816,0.005883085084996242,4.744143569469452,0.1679478406906128,1715245353.3468435,28.0,30566,332.58237648010254
31620,0.8395373353724629,0.0020637421296277178,0.8580323949397686,5.105063998699188,0.8109289617486338,,,0.801605504587156,0.005884724174229562,4.931002966562907,0.17406103213628135,1715245364.92547,29.0,31620,344.16100311279297
