,train accuracy,dev loss,train F1,total epoch time,dev F1,batch loss,n_all_params,dev accuracy,loss,train epoch time,dev eval epoch time,_timestamp,epoch,_step,_runtime
1054,0.8187797888610076,0.0022194729348935117,0.8423717211897351,0.31522130568822226,0.80625,,,0.786697247706422,0.006566026896792787,0.30697486400604246,0.00824644168217977,1715245077.5265217,0.0,1054,56.762054681777954
2108,0.8369389300509288,0.002171003832182753,0.8558225022974925,0.6357591629028321,0.8038585209003215,,,0.7901376146788991,0.005967603356173158,0.6197254618008932,0.016033701101938885,1715245096.7591522,1.0,2108,75.99468517303467
3162,0.8383643409701703,0.002027249835226514,0.8567706962791432,0.9593065818150839,0.8068669527896996,,,0.7935779816513762,0.005919541426229874,0.9352258404095968,0.024080741405487063,1715245116.1723013,2.0,3162,95.40783429145813
4216,0.8387949338520245,0.0020932689172412275,0.8572255171416172,1.2858154058456421,0.8043243243243243,,,0.7924311926605505,0.0058973477660922,1.2540669242540996,0.03174848159154257,1715245135.7631812,3.0,4216,114.9987142086029
5270,0.8389731102169298,0.0021108639759754915,0.8576155027767931,1.4799749771753947,0.8102893890675241,,,0.7970183486238532,0.005893561700057392,1.4420541246732077,0.037920852502187095,1715245147.4130027,4.0,5270,126.64853572845459
6324,0.8387503897607982,0.0020661506152481112,0.8572742804573531,1.6744718233744305,0.8131634819532909,,,0.7981651376146789,0.0058876820054977715,1.6306604464848837,0.04381137688954671,1715245159.083067,5.0,6324,138.3185999393463
7378,0.8397452077981856,0.0020636584643923908,0.8582461025230171,1.8638561407725018,0.8125,,,0.8004587155963303,0.005882631668784443,1.8142657478650412,0.049590392907460534,1715245170.4464867,6.0,7378,149.68201971054077
8432,0.8396561196157329,0.0020097920654016895,0.8580479789681236,2.049121121565501,0.8131147540983606,,,0.8038990825688074,0.005880653823226857,1.9934596300125125,0.05566149155298869,1715245181.5626857,7.0,8432,160.79821872711182
9486,0.84041336916658,0.0021223734483259535,0.8588241475332318,2.241354850927989,0.810752688172043,,,0.7981651376146789,0.005884355638814462,2.1794904867808027,0.06186436414718628,1715245193.0969763,8.0,9486,172.3325092792511
10540,0.8398342959806382,0.0020804469123345995,0.858086329610188,2.4405690670013427,0.8136315228966986,,,0.7993119266055045,0.005882555352023532,2.372747619946798,0.06782144705454508,1715245205.0500834,9.0,10540,184.28561639785767
