,dev F1,_step,n_bias_params,n_clas_params,n_circ_params,total epoch time,dev loss,n_pos_enc_params,loss,epoch,train F1,batch loss,train epoch time,n_all_params,_timestamp,train accuracy,_runtime,dev accuracy,dev eval epoch time
1054,0.7903055848261328,1054,,,,9.354849775632223,0.0028836561042234437,,0.009952801260930977,0.0,0.757517473045457,,9.348533149560293,,1715206192.7700818,0.7341905596222661,597.4378988742828,0.7717889908256881,0.006316626071929931
2108,0.7861635220125787,2108,,,,18.674375915527342,0.0026800839589276445,,0.008634734462882102,1.0,0.8170951976200594,,18.661845203240713,,1715206751.9418986,0.7955129252104708,1156.6097157001495,0.7660550458715596,0.012530712286631267
3162,0.7928118393234672,3162,,,,28.079398584365844,0.0025180254917625986,,0.007976293335509786,2.0,0.8261951469988019,,28.059840099016824,,1715207316.2435026,0.8039911505738764,1720.911319732666,0.7752293577981652,0.01955848534901937
4216,0.7936507936507936,4216,,,,37.43661415576935,0.0023997034364884053,,0.00760077088896484,3.0,0.8323841692523205,,37.41081943511963,,1715207877.67668,0.8099006666765654,2282.344497203827,0.7763761467889908,0.02579472064971924
5270,0.7957894736842105,5270,,,,46.835405786832176,0.002370962240827193,,0.007335143600636423,4.0,0.8371035996029466,,46.80360680023829,,1715208441.6044242,0.814815364741867,2846.2722413539886,0.7775229357798165,0.03179898659388224
6324,0.7970401691331924,6324,,,,56.20973012844722,0.0023101263363426976,,0.0071506071531257,5.0,0.8387122002085505,,56.171830622355145,,1715209004.064137,0.8162704717219261,3408.731954097748,0.7798165137614679,0.03789950609207153
7378,0.7910922587486744,7378,,,,65.56897960106532,0.0022930517929409624,,0.007002536037681232,6.0,0.8401434626671014,,65.52473644812902,,1715209565.6193411,0.8180076912797517,3970.2871582508087,0.7740825688073395,0.04424315293629964
8432,0.799575821845175,8432,,,,74.97532754739126,0.0022086441995353874,,0.006857170473432029,7.0,0.842672919109027,,74.92481830517451,,1715210130.0004554,0.8206654887229209,4534.66827249527,0.783256880733945,0.05050924221674601
9486,0.7966101694915254,9486,,,,84.3524672349294,0.0021899150120555807,,0.006749518480606622,8.0,0.8428967979878279,,84.29583765268326,,1715210692.6290765,0.8210069934223225,5097.296893596649,0.7798165137614679,0.056629582246144616
10540,0.7987355110642782,10540,,,,93.73786447445552,0.002215568728129798,,0.0066570324524043425,9.0,0.8431134599073531,,93.67481599648794,,1715211255.7531698,0.8214821303954031,5660.420986890793,0.7809633027522935,0.06304847796758016
11594,0.8034188034188035,11594,,,,103.13899417718252,0.002164983694706488,,0.006568915136060562,10.0,0.8448244354522908,,103.06975904305776,,1715211819.821187,0.8234866145005865,6224.489004135132,0.7889908256880734,0.06923513412475586
12648,0.8098290598290598,12648,,,,112.53459640741349,0.002054352825934734,,0.006492917524484837,11.0,0.8450696866387136,,112.45922471284867,,1715212383.5576148,0.8238875113216232,6788.225431919098,0.7958715596330275,0.07537169456481933
13702,0.8042780748663102,13702,,,,121.92646997769674,0.0021083171077824515,,0.0064189642294738,12.0,0.8472440121326221,,121.84491849740347,,1715212947.0702844,0.8265156127039748,7351.738101482391,0.7901376146788991,0.08155148029327393
14756,0.8106951871657754,14756,,,,131.31925535202026,0.002091640384372221,,0.006380995958797912,13.0,0.8469486515472547,,131.23162389596303,,1715213510.637678,0.8262483481566171,7915.305495023727,0.7970183486238532,0.08763145605723063
