,_runtime,dev loss,total epoch time,n_bias_params,_step,epoch,n_batch_norm_params,train accuracy,train F1,n_pos_enc_params,dev eval epoch time,dev F1,n_all_params,n_circ_params,batch loss,loss,dev accuracy,train epoch time,_timestamp
528,202.92697191238403,0.0021173933162054884,2.781784001986186,,528,0.0,,0.7914891089696952,0.814159994706544,,0.006717522939046224,0.8160676532769556,,,,0.003919898995039934,0.8004587155963303,2.7750664790471395,1715044575.853461
1056,370.25264048576355,0.0020105418398839617,5.570540956656139,,1056,1.0,,0.8399382321934995,0.8612291135655622,,0.01346214214960734,0.8117154811715481,,,,0.003273663505289885,0.7935779816513762,5.55707881450653,1715044743.1791296
1584,537.0222280025482,0.0019269287586212158,8.350029734770457,,1584,2.0,,0.8534053957742506,0.8715740728696489,,0.020100494225819904,0.8161530286928799,,,,0.0029800625404544597,0.801605504587156,8.329929240544637,1715044909.948717
2112,703.9186556339264,0.001997675883387207,11.131632824738821,,2112,3.0,,0.8619133171984736,0.8784885544057698,,0.027052084604899086,0.8076514346439958,,,,0.002787539191790421,0.7924311926605505,11.10458074013392,1715045076.8451447
2640,871.5743780136108,0.0020187876161632187,13.92589073975881,,2640,4.0,,0.8685058426999659,0.8837795275590551,,0.033811736106872554,0.8289054197662061,,,,0.0026427091480471436,0.8153669724770642,13.892079003651936,1715045244.5008671
3168,1038.808648109436,0.002052899962718334,16.713124644756316,,3168,5.0,,0.8714309046904928,0.8860012902036679,,0.040598638852437335,0.8147368421052632,,,,0.0025416815516238886,0.7981651376146789,16.67252600590388,1715045411.7351372
3696,1206.1317358016968,0.0019845526084440565,19.50183862845103,,3696,6.0,,0.8736284131909902,0.8880146313864291,,0.04744055271148681,0.8269230769230769,,,,0.0024634517627395423,0.8142201834862385,19.454398075739544,1715045579.058225
4224,1373.5391085147858,0.0020125043501547715,22.291957342624663,,4224,7.0,,0.8778452538270798,0.8914171077118006,,0.05426039298375447,0.8140276301806588,,,,0.002390381420327199,0.7993119266055045,22.23769694964091,1715045746.4655976
4752,1539.9972877502441,0.0022413117144632778,25.066256205240883,,4752,8.0,,0.8828787361356516,0.895840485936881,,0.06098153193791707,0.8112798264642083,,,,0.0023175410545897657,0.8004587155963303,25.005274673302967,1715045912.9237769
5280,1706.6993434429169,0.0021656031523822642,27.844618916511532,,5280,9.0,,0.8851356367577841,0.8977720220947749,,0.06791261037190754,0.8179871520342612,,,,0.0022678838987995036,0.805045871559633,27.776706306139626,1715046079.6258326
