,total epoch time,_runtime,dev accuracy,loss,train accuracy,dev eval epoch time,batch loss,train epoch time,dev F1,dev loss,train F1,n_combiner_params,_timestamp,_step,n_all_params,n_classifier_params,epoch
1054,0.20555601914723715,49.95302677154541,0.8520642201834863,0.0048136465484535694,0.8676892010274837,0.006398169199625651,,0.1991578499476115,0.8571428571428571,0.001687168459826653,0.8812294240740001,,1715245358.0343518,1054,,,0.0
2108,0.388837742805481,60.950239181518555,0.8589449541284404,0.003137494623981858,0.9189149059377274,0.011495590209960938,,0.37734215259552,0.8634850166481687,0.0018038176205180108,0.9274950543687516,,1715245369.0315642,2108,,,1.0
3162,0.5498880942662557,70.61350059509277,0.8612385321100917,0.0023503125430314577,0.9402366776047157,0.01661431392033895,,0.5332737803459168,0.8632768361581921,0.0018030625827815555,0.9465194456624281,,1715245378.6948256,3162,,,2.0
4216,0.7022816061973572,79.75735688209534,0.8520642201834863,0.0019344214880604876,0.9504818185867645,0.021788803736368816,,0.6804928024609884,0.853907134767837,0.00201802724681863,0.9556851854312556,,1715245387.838682,4216,,,3.0
5270,0.8572225213050844,89.05405163764954,0.8451834862385321,0.0016608497200323253,0.9579652259127827,0.026719244321187337,,0.8305032769838969,0.8501664816870145,0.0021557556379825696,0.9623772376307361,,1715245397.1353767,5270,,,4.0
6324,1.0246328552563986,99.09892654418945,0.8394495412844036,0.0014807226825778465,0.961885105940697,0.031977089246114095,,0.9926557660102845,0.8364485981308412,0.0025322111579803154,0.9658902161925137,,1715245407.1802516,6324,,,5.0
7378,1.1862717549006145,108.797527551651,0.8623853211009175,0.001369046896457027,0.9652704568738957,0.03716751337051392,,1.1491042415301005,0.8636363636363636,0.0023200274744165053,0.9688908986925931,,1715245416.8788526,7378,,,6.0
8432,1.3379998922348024,117.90146136283875,0.8360091743119266,0.0012469064849555845,0.9684627834117804,0.042419127623240155,,1.295580764611562,0.8440567066521265,0.002543594278053406,0.971784585137756,,1715245425.9827864,8432,,,7.0
9486,1.4952023188273114,127.33384990692139,0.8486238532110092,0.0012060587147847352,0.9689082243240434,0.047483003139495855,,1.4477193156878152,0.85,0.002299860735005195,0.9721794122336186,,1715245435.415175,9486,,,8.0
10540,1.6460965394973757,136.3877716064453,0.8428899082568807,0.0011437962284953091,0.9702000029696061,0.0525631864865621,,1.5935333530108133,0.8476084538375973,0.0026238830674678907,0.9733370531266191,,1715245444.4690967,10540,,,9.0
